,townstate,poverty,med_income,hs_completion,n_households,population,density,crime_rate,property_crime,violent_crime,students_per_teacher,gini,lat,lng,unemployment_rate,home_price,crime_rate_pc,vcrime_rate_pc,pcrime_rate_pc,people_per_household,state
94,"Amboy, Illinois",16.1,52008.0,88.0,1546,3748,14.3,24.0,22.0,2.0,11.333333333333336,0.4613498953178414,41.70001,-89.34996,4.587610195477113,92645.0,0.0064034151547491995,0.0005336179295624333,0.005869797225186766,2.424320827943079,Illinois
95,"American Canyon, California",8.3,91802.0,84.5,5505,20306,588.1,477.0,409.0,68.0,25.0,0.4454,38.18419,-122.26293999999999,5.1,585299.0,0.023490593913129125,0.0033487639121441938,0.02014183000098493,3.688646684831971,California
96,"American Falls, Idaho",12.3,47717.0,70.8,2022,6141,4.2,81.0,71.0,10.0,15.6,0.4613498953178414,42.7067,-113.01383999999999,4.587610195477113,169064.0,0.013190034196384953,0.0016283992835043153,0.011561634912880639,3.037091988130564,Idaho
97,"Amery, Wisconsin",5.6,54426.0,91.2,3208,7782,27.2,65.0,50.0,15.0,14.25,0.4613498953178414,45.334759999999996,-92.38718,4.587610195477113,156019.0,0.00835260858391159,0.0019275250578257518,0.006425083526085839,2.4258104738154613,Wisconsin
98,"Amherst, Ohio",9.0,65308.0,92.9,8342,21130,233.5,195.0,188.0,7.0,19.0,0.4542,41.364940000000004,-82.26177,3.3,161854.0,0.009228584950307619,0.0003312825366777094,0.00889730241362991,2.532965715655718,Ohio
99,"Amherst, Virginia",7.5,52053.0,78.6,3891,10196,17.6,10.0,9.0,1.0,15.4,0.4613498953178414,37.63442,-79.0969,4.587610195477113,177852.0,0.000980776775205963,9.807767752059631e-05,0.0008826990976853668,2.6204060652788486,Virginia
100,"Amity, Arkansas",36.1,40917.0,88.3,1361,3660,7.1,3.0,2.0,1.0,11.0,0.4613498953178414,34.24924,-93.39336999999999,4.587610195477113,85510.0,0.000819672131147541,0.000273224043715847,0.000546448087431694,2.689199118295371,Arkansas
101,"Amity, Oregon",19.0,52744.0,89.7,1330,4024,26.4,18.0,17.0,1.0,17.0,0.4757,45.09042,-123.21733,3.8,384508.0,0.0044731610337972166,0.00024850894632206757,0.004224652087475149,3.0255639097744362,Oregon
102,"Amory, Mississippi",20.8,42479.0,77.0,4982,13133,33.9,232.0,222.0,10.0,19.666666666666668,0.4613498953178414,33.97596,-88.43758000000004,4.587610195477113,93518.0,0.017665422980278688,0.0007614406457016675,0.01690398233457702,2.6360899237254114,Mississippi
103,"Amsterdam, New York",25.6,49553.0,82.5,11641,28221,85.5,347.0,324.0,23.0,13.142857142857142,0.4613498953178414,42.937979999999996,-74.17385,4.587610195477113,139307.0,0.01229580808617696,0.0008149959250203749,0.011480812161156586,2.4242762649256937,New York
104,"Anacortes, Washington",10.0,65026.0,95.0,9379,21411,148.6,478.0,463.0,15.0,18.857142857142858,0.4386,48.503209999999996,-122.65491999999999,4.5,476129.0,0.022324973144645276,0.0007005744710662743,0.021624398673579,2.2828659771830684,Washington
105,"Anadarko, Oklahoma",34.4,34347.0,86.8,3183,9585,23.9,332.0,282.0,50.0,17.4,0.4613498953178414,35.057829999999996,-98.2382,4.587610195477113,50541.0,0.034637454355764215,0.005216484089723527,0.029420970266040687,3.0113100848256362,Oklahoma
